media,spend,roi,contribution
email_1to1,13409.90769230769,0.0024818757801845738,1.6158947169091544
email_1to1,13939.246153846154,0.002923752937198189,1.978732970507071
email_1to1,14468.584615384614,0.003295615170259083,2.315100098983562
email_1to1,14997.923076923074,0.003608713999259723,2.6277909820834773
email_1to1,15527.261538461538,0.003872262485667913,2.9192204233234174
email_1to1,16056.599999999999,0.004093851392300262,3.1914856334591266
email_1to1,16585.938461538462,0.004279770833915326,3.4464167804896437
email_1to1,17115.276923076923,0.004435260981885084,3.685618184324028
email_1to1,17644.615384615383,0.004564708998403583,3.9105021066163945
email_1to1,18173.953846153847,0.004671804892350811,4.1223166615914435
email_1to1,18703.292307692307,0.004759665694179781,4.322168991322768
email_1to1,19232.630769230767,0.004830935025856858,4.511044613433043
email_1to1,19761.969230769228,0.004887863457821158,4.689823688210596
email_1to1,20291.30769230769,0.00493237368612186,4.859294722069786
email_1to1,20820.64615384615,0.0049661137178975065,5.020166199322527
email_1to1,21349.984615384612,0.004990500474429263,5.173076482297168
email_1to1,21879.323076923076,0.005006755712130901,5.318602274623415
email_1to1,22408.661538461536,0.005015935757163828,5.457265892943442
email_1to1,22938.0,0.005018956216071261,5.589541528643044
mass_email,47813.100000000006,-0.010097641499445534,-23.440889190059053
mass_email,58846.89230769232,-0.006282480415424429,-17.94989481329854
mass_email,69880.68461538463,-0.0041828735660757056,-14.191853532651622
mass_email,80914.47692307693,-0.0029166404823130054,-11.458199040085312
mass_email,91948.26923076925,-0.0021011976763238493,-9.380321042107576
mass_email,102982.06153846155,-0.0015495083427226235,-7.747520464663086
mass_email,114015.85384615386,-0.0011616652041085884,-6.4306290284595296
mass_email,125049.64615384617,-0.0008805286103465217,-5.346051900321834
mass_email,136083.43846153846,-0.0006715928434984991,-4.437297688752748
mass_email,147117.23076923078,-0.0005130758669054566,-3.664817569340479
mass_email,158151.0230769231,-0.00039071133366504993,-3.000096655201806
mass_email,169184.8153846154,-0.0002948599065058714,-2.4220568748058233
mass_email,180218.6076923077,-0.00021883270614215698,-1.9147809271172347
mass_email,191252.40000000002,-0.00015787993246097935,-1.4660239234496328
mass_email,202286.19230769234,-0.00010856006806581109,-1.0662120299419957
mass_email,213319.98461538463,-6.8334845758751e-05,-0.7077518185091856
mass_email,224353.77692307695,-3.5302438625092636e-05,-0.38454336605915956
mass_email,235387.56923076927,-8.017671534914354e-06,-0.09163028051527926
mass_email,246421.36153846156,1.4631608735605024e-05,0.17505626724952256
mass_email,257455.15384615387,3.351110874890723e-05,0.4188877104874189
mass_email,268488.9461538462,4.930171881420053e-05,0.6426813575888075
mass_email,279522.73846153845,6.254404784660964e-05,0.8488097499068217
mass_email,290556.5307692308,7.367104399652579e-05,1.0392850916699476
mass_email,301590.32307692314,8.303218994059635e-05,1.215825160942346
mass_email,312624.1153846154,9.091165453368667e-05,1.379905257393986
mass_email,323657.9076923077,9.754205591909712e-05,1.532799531896642
mass_email,334691.70000000007,0.00010311499876544725,1.6756141342692266
mass_email,345725.4923076923,0.00010778921608264789,1.8093140218794714
mass_email,356759.28461538465,0.00011169691282082515,1.9347447906938746
